model,scenario_id,total_turns,scenario_type,recall,ccr
EpSem-F,hold-out-N020,500,NOISE_TOLERANCE,0.875,0.957
EpSem-F,hold-out-N021,1000,NOISE_TOLERANCE,0.625,0.923
EpSem-F,hold-out-N022,1000,NOISE_TOLERANCE,0.875,0.928
EpSem-F,hold-out-N023,1000,NOISE_TOLERANCE,1.0,0.947
EpSem-F,hold-out-N024,1000,NOISE_TOLERANCE,1.0,0.968
EpSem-F,hold-out-U013,200,UPDATE_CONFLICT,1.0,0.881
EpSem-F,hold-out-U014,200,UPDATE_CONFLICT,1.0,0.858
EpSem-F,hold-out-U015,200,UPDATE_CONFLICT,0.8,0.911
EpSem-F,hold-out-U016,200,UPDATE_CONFLICT,0.6923076923076923,0.856
EpSem-F,hold-out-U017,500,UPDATE_CONFLICT,0.8,0.937
EpSem-F,hold-out-U018,500,UPDATE_CONFLICT,1.0,0.879
EpSem-F,hold-out-U019,500,UPDATE_CONFLICT,1.0,0.921
EpSem-F,hold-out-U020,500,UPDATE_CONFLICT,0.6,0.919
EpSem-F,hold-out-U021,1000,UPDATE_CONFLICT,0.75,0.922
EpSem-F,hold-out-U022,1000,UPDATE_CONFLICT,1.0,0.951
EpSem-F,hold-out-U023,1000,UPDATE_CONFLICT,0.9230769230769231,0.914
EpSem-F,hold-out-U024,1000,UPDATE_CONFLICT,0.875,0.918
EpSem-SS,hold-out-F001,200,FORGETTING,1.0,0.779
EpSem-SS,hold-out-F002,200,FORGETTING,1.0,0.737
EpSem-SS,hold-out-F003,200,FORGETTING,1.0,0.801
EpSem-SS,hold-out-F004,200,FORGETTING,1.0,0.722
EpSem-SS,hold-out-F005,500,FORGETTING,1.0,0.91
EpSem-SS,hold-out-F006,500,FORGETTING,1.0,0.844
EpSem-SS,hold-out-F007,500,FORGETTING,1.0,0.893
EpSem-SS,hold-out-F008,500,FORGETTING,1.0,0.867
EpSem-SS,hold-out-F009,1000,FORGETTING,1.0,0.937
EpSem-SS,hold-out-F010,1000,FORGETTING,1.0,0.944
EpSem-SS,hold-out-F011,1000,FORGETTING,1.0,0.913
EpSem-SS,hold-out-F012,1000,FORGETTING,1.0,0.943
EpSem-SS,hold-out-N001,200,NOISE_TOLERANCE,1.0,0.758
EpSem-SS,hold-out-N002,200,NOISE_TOLERANCE,1.0,0.747
EpSem-SS,hold-out-N003,200,NOISE_TOLERANCE,1.0,0.768
EpSem-SS,hold-out-N004,200,NOISE_TOLERANCE,1.0,0.752
EpSem-SS,hold-out-N005,500,NOISE_TOLERANCE,1.0,0.908
EpSem-SS,hold-out-N006,500,NOISE_TOLERANCE,1.0,0.877
EpSem-SS,hold-out-N007,500,NOISE_TOLERANCE,1.0,0.874
EpSem-SS,hold-out-N008,500,NOISE_TOLERANCE,1.0,0.882
EpSem-SS,hold-out-N009,1000,NOISE_TOLERANCE,1.0,0.944
EpSem-SS,hold-out-N010,1000,NOISE_TOLERANCE,1.0,0.946
EpSem-SS,hold-out-N011,1000,NOISE_TOLERANCE,1.0,0.936
EpSem-SS,hold-out-N012,1000,NOISE_TOLERANCE,1.0,0.933
EpSem-SS,hold-out-U001,200,UPDATE_CONFLICT,1.0,0.756
EpSem-SS,hold-out-U002,200,UPDATE_CONFLICT,1.0,0.753
EpSem-SS,hold-out-U003,200,UPDATE_CONFLICT,1.0,0.714
EpSem-SS,hold-out-U004,200,UPDATE_CONFLICT,1.0,0.717
EpSem-SS,hold-out-U005,500,UPDATE_CONFLICT,1.0,0.909
EpSem-SS,hold-out-U006,500,UPDATE_CONFLICT,0.9230769230769231,0.858
EpSem-SS,hold-out-U007,500,UPDATE_CONFLICT,1.0,0.878
EpSem-SS,hold-out-U008,500,UPDATE_CONFLICT,1.0,0.894
EpSem-SS,hold-out-U009,1000,UPDATE_CONFLICT,1.0,0.934
EpSem-SS,hold-out-U010,1000,UPDATE_CONFLICT,1.0,0.942
EpSem-SS,hold-out-U011,1000,UPDATE_CONFLICT,1.0,0.925
EpSem-SS,hold-out-U012,1000,UPDATE_CONFLICT,0.875,0.939
EpSem-SS,hold-out-F013,200,FORGETTING,1.0,0.731
EpSem-SS,hold-out-F014,200,FORGETTING,1.0,0.779
EpSem-SS,hold-out-F015,200,FORGETTING,1.0,0.692
EpSem-SS,hold-out-F016,200,FORGETTING,1.0,0.744
EpSem-SS,hold-out-F017,500,FORGETTING,1.0,0.924
EpSem-SS,hold-out-F018,500,FORGETTING,1.0,0.87
EpSem-SS,hold-out-F019,500,FORGETTING,1.0,0.865
EpSem-SS,hold-out-F020,500,FORGETTING,1.0,0.892
EpSem-SS,hold-out-F021,1000,FORGETTING,1.0,0.951
EpSem-SS,hold-out-F022,1000,FORGETTING,1.0,0.935
EpSem-SS,hold-out-F023,1000,FORGETTING,1.0,0.934
EpSem-SS,hold-out-F024,1000,FORGETTING,1.0,0.927
EpSem-SS,hold-out-N013,200,NOISE_TOLERANCE,1.0,0.729
EpSem-SS,hold-out-N014,200,NOISE_TOLERANCE,1.0,0.726
EpSem-SS,hold-out-N015,200,NOISE_TOLERANCE,1.0,0.742
EpSem-SS,hold-out-N016,200,NOISE_TOLERANCE,1.0,0.775
EpSem-SS,hold-out-N017,500,NOISE_TOLERANCE,1.0,0.917
EpSem-SS,hold-out-N018,500,NOISE_TOLERANCE,1.0,0.871
EpSem-SS,hold-out-N019,500,NOISE_TOLERANCE,1.0,0.882
EpSem-SS,hold-out-N020,500,NOISE_TOLERANCE,1.0,0.881
EpSem-SS,hold-out-N021,1000,NOISE_TOLERANCE,1.0,0.945
EpSem-SS,hold-out-N022,1000,NOISE_TOLERANCE,1.0,0.951
EpSem-SS,hold-out-N023,1000,NOISE_TOLERANCE,1.0,0.935
EpSem-SS,hold-out-N024,1000,NOISE_TOLERANCE,1.0,0.928
EpSem-SS,hold-out-U013,200,UPDATE_CONFLICT,1.0,0.761
EpSem-SS,hold-out-U014,200,UPDATE_CONFLICT,1.0,0.714
EpSem-SS,hold-out-U015,200,UPDATE_CONFLICT,1.0,0.776
EpSem-SS,hold-out-U016,200,UPDATE_CONFLICT,1.0,0.712
EpSem-SS,hold-out-U017,500,UPDATE_CONFLICT,1.0,0.91
EpSem-SS,hold-out-U018,500,UPDATE_CONFLICT,1.0,0.882
EpSem-SS,hold-out-U019,500,UPDATE_CONFLICT,1.0,0.864
EpSem-SS,hold-out-U020,500,UPDATE_CONFLICT,0.8,0.898
EpSem-SS,hold-out-U021,1000,UPDATE_CONFLICT,0.875,0.934
EpSem-SS,hold-out-U022,1000,UPDATE_CONFLICT,1.0,0.956
EpSem-SS,hold-out-U023,1000,UPDATE_CONFLICT,1.0,0.921
EpSem-SS,hold-out-U024,1000,UPDATE_CONFLICT,0.875,0.943
